"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Bizkaia, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Fundación Beato Domingo Iturrate,Calle,Gaztelumendi,30,48991,Getxo,944 30 00 24,Privada sin fin de lucro,33,www.residenciafbdi.com,"43,355952","-3,008193",12/04/2019
Vivienda comunitaria Satistegui,Calle,Satistegui,2 - bajo izda.,48991,Getxo,944 91 20 54 / 630 77 57 47,Privada,11,www.residenciasatistegui.com,"43,348959","-3,012455",09/05/2015
Residencia San Esteban,Avenida,de los Chopos,14 - 16,48992,Getxo,944 91 01 01,Privada,95,residenciageriatricosanesteban.com,"43,338111","-3,002312",17/04/2017
Residencia municipal del Sagrado Corazón de Getxo,Calle,Ormetxe,22,48992,Getxo,944 03 47 40,Pública local,112,,"43,344003","-3,004156",09/04/2019
Residencia Andra Mari,Calle,Maidagan,10,48993,Getxo,944 30 07 49,Privada,70,www.andramari.org,"43,360015","-3,010010",05/04/2019
Santa María de Getxo,Calle,Maidagan,34,48993,Getxo,944 60 73 51,Privada,24,,"43,361053","-3,013399",17/04/2017
Vivienda comunitaria Villa Fali,Barrio,de Sandamendi,19,48192,Gordexola,946 79 80 57,Privada,11,,"43,178935","-3,076214",07/05/2015
Vivienda comunitaria Lasaitasun,Barrio,de Azkarai,3,48193,Gordexola,946 69 23 79,Privada,12,,"43,188810","-3,045068",17/04/2017
Geriátrico Biotzak,Calle,Estarta,7,48840,Güeñes,946 69 01 41,Privada,26,www.residenciabiotzak.com,"43,208864","-3,091907",22/09/2015
Hospital Asilo Nuestra Señora de los Desamparados,Calle,Soscaño,3,48891,Karrantza Harana/Valle de Carranza,946 80 63 49 / 608 54 96 57,Privada,66,www.residenciakarrantza.eus,"43,223609","-3,363476",04/04/2019
Centro Asistencial Leioa,Barrio,Santimami,20,48940,Leioa,944 64 98 00,Pública provincial,212,ifas.bizkaia.eus/interior.asp?idpagina=KPFRJVUIHCJFMJXCLWGSJDUPOKKGNQYDLWNA,"43,321766","-2,972528",09/04/2019
Residencia Uribarren - Abaroa,Avenida,Íñigo Artieta,2,48280,Lekeitio,946 84 00 55,Privada,89,,"43,359388","-2,506812",17/04/2017
Residencia y apartamentos tutelados Loiu Gurena,Camino,Unbetxiki Bidea,9,48180,Loiu,944 53 00 49,Privada,176,www.gurena.com/servicios/asistencia-especial/index.php,"43,318109","-2,921732",04/04/2019
Hermandad del Santo Hospital San Roque - S. Roke Egoetxea,Calle,San Agustín,6,48270,Markina-Xemein,946 16 62 21,Privada sin fin de lucro,40,www.gsr.coop/residencias-de-personas-mayores/residencias-de-personas-mayores-en-markina,"43,265375","-2,494644",17/04/2017
Residencia geriátrica Las Magnolias,Plaza,Meñakabarrena,11,48120,Meñaka,946 74 24 24,Privada,75,,"43,349916","-2,797697",10/07/2017
Residencia Geure Etxea Santo Hospital y Asilo de la Caridad,Avenida,Lorategui,2,48360,Mundaka,946 87 60 95,Privada,39,geure-etxea.com,"43,405027","-2,700068",30/04/2019
Residencia Biotz Sakratu,Calle,Sarrua,5,48360,Mundaka,946 87 62 32,Privada sin fin de lucro,34,www.residenciabiotzsakratu.com,"43,407395","-2,700541",27/04/2018
Residencia La Saleta-Larrauri,Calle,Bermeo Bidea,33,48100,Mungia,946 74 53 07,Privada,85,www.residenciadevizcaya.com,"43,365587","-2,813658",05/04/2019
Residencia San Jose - Etxe Alai,Calle,Elorduigoitia,9,48100,Mungia,946 74 47 41,Privada,60,www.etxealai.com,"43,355715","-2,846410",05/04/2019
Oizpe Egoitza,Calle,Olabarri,8,48381,Munitibar-Arbatzegi Gerrikaitz,946 16 41 35,Privada,83,www.oizpe.com,"43,269975","-2,596307",14/07/2017
Residencia de Pobeña,Camino,de la Ermita,s/n,48550,Muskiz,946 70 79 77,Privada,51,www.gabando.com/residencia_pobena.htm,"43,346900","-3,122310",04/04/2019
Residencia La Alegría,Barrio,de San Julián,2,48550,Muskiz,946 70 80 61,Privada,50,www.residencialegria.com,"43,332487","-3,114558",10/07/2017
Residencia Marcelo Gangoiti,Calle,Marcelo Gangoiti,1,48550,Muskiz,946 70 84 90,Pública provincial,122,www.vitalitas.es/residencias/residencia-marcelo-gangoiti,"43,322114","-3,125587",08/04/2019
Residencia Olabe,Barrio,Astelarra,13 - bajo,48392,Muxika,946 25 29 45,Privada,40,www.residenciaolabe.com,"43,282477","-2,686445",11/04/2019
Residencia Artibai,Calle,Artibai,4,48700,Ondarroa,946 83 32 31,Pública local,54,,"43,319934","-2,423474",14/03/2018
Andra Mari Santo Hospital,Barrio,Andra Mari,8,48410,Orozko,946 33 99 90,Pública local,43,www.gsr.coop/residencias-de-personas-mayores/residencias-de-personas-mayores-en-orozco,"43,111777","-2,912076",03/05/2018
Residencia Otxartaga,Barrio,Otxartaga,28,48530,Ortuella,966 64 03 08,Pública provincial,120,residenciaotxartaga.es,"43,310093","-3,052528",06/05/2015
Residencia de ancianos de Otxandio - Otxandio Egoitza,Calle,Ospital,8,48210,Otxandio,945 46 14 03,Privada,20,www.gsr.coop/residencias-de-personas-mayores/residencias-de-personas-mayores-en-otxandio,"43,040691","-2,653091",09/04/2019
Santo Hospital del Glorioso San Juan Bautista,Calle,General Castaños,75,48920,Portugalete,944 61 34 39,Privada,78,,"43,322245","-3,024794",10/07/2017
Residencia Rodríguez Andoin V,Calle,General Castaños,135 - 137 - 139,48920,Portugalete,944 83 00 86,Privada,70,www.andoinv.com,"43,324021","-3,032995",12/04/2019
Fundación Aspaldiko,Barrio,La Florida,s/n,48920,Portugalete,944 62 50 00,Privada,307,www.aspaldiko.org,"43,321106","-3,027652",11/04/2019
Residencia Atsoa,Avenida,Antonio Alzaga,58 - A - D,48980,Santurtzi,944 83 26 07,Privada,48,www.atsoa.com,"43,323275","-3,034725",08/04/2015
Vivienda comunitaria Jado,Plaza,del Señorío de Bizkaia,7,48980,Santurtzi,944 93 82 07,Privada,11,www.residenciajado.com,"43,327075","-3,028810",05/04/2019
Residencia Zoragarri,Calle,Regales,20 - 1º,48980,Santurtzi,944 83 82 79,Privada,22,www.residenciazoragarri.com,"43,333808","-3,041630",30/08/2011
Vivienda comunitaria Kaia,Plaza,Señorío de Bizkaia,7,48980,Santurtzi,944 83 35 65,Privada,14,residenciaancianos.es,"43,327108","-3,028856",26/04/2017
Residencia Nuestra Señora de Begoña,Barrio,Villar,55,48980,Santurtzi,944 83 68 75 / 944 83 31 25,Privada,120,www.residencia-santurtzi.eus/castellano/index.htm,"43,324993","-3,045523",09/04/2019
Centro de respiro de Santurtzi,Barrio,Villar,55,48980,Santurtzi,944 62 63 19,Pública local,18,,"43,324993","-3,045523",09/05/2018
Residencia Albiz Santiago Llanos,Calle,Félix María Samaniego,3,48910,Sestao,946 57 22 20,Pública provincial,134,www.vitalitas.es/residencias/residencia-albiz-santiago-llanos,"43,307863","-3,009934",09/04/2019
Residencia municipal Juan Ellacuria Larrauri,Calle,Gran Vía,58,48910,Sestao,944 96 46 11,Pública local,54,,"43,307534","-2,997358",04/04/2019
Residencia Larrabarrena Sondika,Calle,Errementeria,30,48150,Sondika,944 53 57 32,Pública provincial,30,,"43,299244","-2,921653",05/04/2019
Residencia Argaluza,Calle,Gatzarriñe,34,48600,Sopela,946 76 55 14,Privada,51,www.residencia-argaluza.com,"43,373567","-2,984971",22/09/2015
Residencia Sopelana,Calle,Sabino Arana,35,48600,Sopela,946 76 48 47,Privada,51,www.residenciasopelana.com,"43,381773","-2,974779",05/04/2019
Apartamentos tutelados Residencial Larrondo,Calle,Sabino Arana,62,48600,Sopela,946 76 48 47,Privada,38,,"43,381152","-2,974730",10/07/2017
Residencia Avellaneda,Barrio,de San Martín de Carral,24,48190,Sopuerta,946 50 40 79,Privada,56,www.residenciaavellaneda.es,"43,250435","-3,155519",17/04/2017
Residencia Geriátrica Zure-Etxea Sopuerta,Barrio,Las Rivas,3,48190,Sopuerta,946 50 40 24,Privada,57,www.gsr.coop/residencias-de-personas-mayores/residencia-de-personas-mayores-en-spansopuerta/span,"43,272341","-3,144526",05/04/2019
Residencia Emilia Mitxelena,Avenida,Lehendakari Agirre,39,48880,Trucios-Turtzioz,946 80 90 45,Privada,36,,"43,270606","-3,257057",08/04/2019
Residencia Santamariñe,Calle,Goieta,29,48610,Urduliz,946 76 63 71,Privada,61,www.residenciasantamarine.com,"43,374930","-2,958623",05/05/2015
Residencia municipal de ancianos de Orduña,Barrio,San Francisco,1,48460,Urduña/Orduña,945 38 30 25,Pública local,56,,"42,992370","-3,009134",14/07/2017
Hogar del anciano San Pancracio,Calle,Grupo Lehendakari Aguirre,3 - bajo,48510,Valle de Trápaga-Trapagaran,944 92 30 39,Privada,10,,"43,292739","-3,016480",17/04/2017
Residencia Lombardia,Avenida,Lanzagorta,57,48860,Zalla,946 67 11 77,Privada,27,www.residencialombardia.es,"43,207521","-3,131462",10/04/2019
Organismo autónomo local - Residencia Zallako Eguzki,Avenida,Sabino Arana,2,48860,Zalla,946 67 02 54 / 946 67 02 55,Pública local,59,,"43,215760","-3,132864",10/07/2017
Residencia Truiuondo,,Polígono Torrelarragoiti,6,48170,Zamudio,946 57 55 00,Pública provincial,120,www.naguspea.es/centro-residencial-truiuondo/,"43,280174","-2,862623",03/04/2019
Residencia Arbildu,Barrio,Arbildu,10,48499,Zeberio,946 48 12 77,Privada,40,www.residenciarbildu.com,"43,163359","-2,888907",09/05/2018
Residencia Eusebio Aldekoa,Barrio,Elizondo,8 - bajo,48499,Zeberio,946 48 11 08,Pública local,31,www.residenciazeberio.es,"43,144520","-2,834325",15/07/2011
Geriátrico La Arena,Barrio,de La Arena,13,48508,Zierbena,946 36 50 33 / 946 36 52 85,Privada,32,www.gabando.com,"43,350287","-3,111365",10/04/2019
Residencia Nuestra Señora del Socorro,Barrio,La Cuesta-Aldapa,73,48508,Zierbena,946 36 53 65,Privada,16,,"43,349499","-3,092154",29/04/2019
